id,name,distance,mass,radius
121,2MASS 0532+8246,81,0.079230804,
122,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063
123,2MASS J05591914-1404488 [de],34,,
124,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998
125,2MASS J06085283-2753583,102,0.036274344,0.15517213
126,WISEP J061135.13-041024.0A,69,0.06204822,
127,WISEP J061135.13-041024.0B,69,0.050593164,
128,2MASS J06244595-4521548 [de],39,0.053456928,0.10173536999999999
129,2MASS J06411840-4322329 [de],65,0.063957396,0.10379063
130,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
131,2MASS J07003664+3157266 [de],40,,
132,2MASS J07075327-4900503,60,0.068730336,0.10584589
133,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999
134,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998
135,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998
136,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
137,2MASS J0746425+200032 [fr],49.6,,
138,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589
139,2MASS J07522390+1612157,60,0.064911984,0.20655362999999996
140,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998
141,DENIS J082303.1−491201A,67,0.042001872,
142,DENIS J082303.1−491201B,67,0.026728464,
143,2MASS J08251968+2115521 [de],35,0.049638576000000004,0.10070773999999999
144,SDSSp J083008.12+482847.4 [de],43,0.045820224,0.10173536999999999
145,LHS 2021,55,0.084003744,0.11817744999999999
146,SDSS J083048.80+012831.1 [de],77,0.043911048,0.09865247999999999
147,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
148,2MASSI J0847287-153237 [de],43,0.061093632,0.102763
149,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
150,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
151,2MASSW J0920122+351742 [de],95,,
152,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998
153,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999
154,2MASS J09490860-1545485 [de],59,0.046774812,0.09865247999999999
155,2MASS J10073369-4555147,46,0.042001872,0.09659721999999998
156,2MASSI J1010148-040649 [de],55,0.048683988000000004,0.10070773999999999
157,2MASSI J1017075+130839 [de],108,,
158,SDSS J102109.69-030420.1,95,,
159,2MASS J10224821+5825453 [de],60,0.025773876,0.14489582999999998
160,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
161,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998
162,Luhman 16B,6.516,0.041047284,0.10481826
163,Luhman 16A,6.516,0.03818352,0.10379063
164,DENIS-P J1058.7−1548,49,0.061093632,0.102763
165,TWA 28,180,0.034365168,0.24560357
166,Cha 110913-773444,163,0.007636704,0.18497339999999998
167,OTS 44,554,0.014318820000000001,
168,SDSS J111010.01+011613.1,63,0.008591292,0.12742612
169,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247999999999
170,TWA 26,137,0.028637640000000002,0.2260786
171,2MASSW J1146345+223053,89,,
172,2MASS J11544223-3400390 [de],129,0.035319756,0.1541445
173,2MASSW J1155395-372735 [de],31,0.061093632,0.102763
174,TWA 27A,,,
175,TWA 27B,,,
176,2MASS J12074836-3900043,217,0.016227996,0.17572473
177,2MASSI J1217110-031113 [de],36,0.040092696000000004,0.09659721999999998
178,2MASS J12255432-2739466,43,,
179,DENIS-P J1228.2-1547,66,,
180,2M 1237+6526,45.6,0.039138108,0.09659721999999998
181,2MASSW J1239272+551537 [de],119,,
182,TWA 29,262,0.0238647,0.205526
183,SDSSp J125453.90-012247.4 [de],38,0.044865636,0.10070773999999999
184,Kelu-1A,61,0.060139044,0.10070773999999999
185,Kelu-1B,61,0.055366104,0.10070773999999999
186,2MASS J13204427+0409045,101,0.063957396,0.10379063
187,SDSSp J132629.82-003831.5 [de],65,0.048683988000000004,0.09968010999999999
188,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
189,2MASS J13595510-4034582,51,0.060139044,0.102763
190,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247999999999
191,SDSS J141659.78+500626.4 [de],149,0.056320692,0.10173536999999999
192,DENIS-P J142527.97-365023.4 [de],38,0.020046348000000002,0.13564716
193,LHS 2924,38.5,0.072548688,0.10892878
194,2MASS J14392837+1929150,47,0.068730336,0.10584589
